Benchmark,Mode,Version,Model,Type,Size,List Name,Unordered Pairs Before,Unordered Pairs After,Unordered Neighbors Before,Unordered Neighbors After,Missing Items,Additional Items,Length Difference,Parsed,HasError,ErrorType,IsList,HasEllipsis,RequiredTypeParsing,Unordered Pairs (%),Unordered Neighbors (%),Missing Items (%),Additional Items (%),Absolute Length Difference (%),Validity Score,Sorting Score,Faithfulness Score,SortBench Score
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_8,4.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,4,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_3,3.0,1.0,2.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_4,2.0,2.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.3333333333333333,0.25,0.0,0.0,0.0,1.0,0.7083333333333334,1.0,0.8541666666666667
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_7,2.0,3.0,1.0,1.0,1.0,1.0,0.0,True,False,,True,False,False,0.5,0.25,0.25,0.25,0.0,1.0,0.625,0.75,0.6875
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_8,4.0,1.0,2.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_9,3.0,3.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.5,0.25,0.0,0.0,0.0,1.0,0.625,1.0,0.8125
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,4,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_8,4.0,1.0,2.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,4,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_8,4.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,4,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_8,4.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,4,list_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_2,0.0,3.0,0.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.5,0.25,0.0,0.0,0.0,1.0,0.625,1.0,0.8125
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,,True,False,False,0.16666666666666666,0.25,0.0,0.0,0.0,1.0,0.7916666666666667,1.0,0.8958333333333334
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-haiku-20241022,ASCII-Cased,4,list_7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
